PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 600.000|3 quartos | 180m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 550.000|4 quartos | 130m² |R$ 0| |Olaria
R$ 850.000|3 quartos | |R$ 180 | 3 vagas|Rio Madeira
R$ 270.000|3 quartos | 85m² |R$ 580 | 1 vaga|Rio Madeira
R$ 840.000|5 ou mais quartos | 450m² |R$ 0 | 5 ou mais vagas|KM 1
R$ 330.000|5 ou mais quartos | 174m² |R$ 0 | 2 vagas|Embratel
R$ 975.000|3 quartos | 152m² |R$ 1.000 | 2 vagas|Nova Porto Velho
R$ 800.000|3 quartos | 108m² |R$ 800.000 | 2 vagas|Olaria
R$ 940.000|3 quartos | 152m² | | 2 vagas|Agenor de Carvalho
R$ 180.000|3 quartos | 160m² |R$ 0| |Castanheira
R$ 300.000|3 quartos | 240m² |R$ 0| |Juscelino Kubitschek
R$ 280.000|3 quartos | |R$ 450 | 2 vagas|Floresta
R$ 680.000|2 quartos | 90m² |R$ 600 | 2 vagas|Lagoa
R$ 568.199|2 quartos | 130m² |R$ 1.088 | 2 vagas|Pedrinhas
R$ 580.000|3 quartos | 122m² |R$ 600 | 2 vagas|Olaria
R$ 75.000|2 quartos | | | 1 vaga|Marcos Freire
R$ 100.000|2 quartos| | | |Planalto
R$ 2.500.000|5 ou mais quartos | 1000m² |R$ 0 | 2 vagas|Lagoa
R$ 1.850.000|4 quartos | 362m² |R$ 720 | 2 vagas|Aponiã
R$ 370.000|3 quartos | 200m² |R$ 0 | 1 vaga|Cohab
R$ 390.000|2 quartos | 65m² |R$ 0 | 1 vaga|Cuniã
R$ 180.000|3 quartos | 130m² |R$ 0 | 3 vagas|Nova Esperança
R$ 550.000|3 quartos | 130m² |R$ 350 | 2 vagas|Pedrinhas
R$ 340.000|2 quartos | 190m² |R$ 0| |Nova Porto Velho
R$ 260.000|3 quartos | 74m² |R$ 0 | 1 vaga|Cuniã
R$ 440.000|3 quartos | 84m² |R$ 0 | 2 vagas|Lagoa
R$ 550.000|3 quartos | 210m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 650.000|3 quartos | 110m² |R$ 0 | 2 vagas|Pedrinhas
R$ 310.000|3 quartos | 110m² |R$ 0| |Embratel
R$ 515.000|4 quartos | 250m² |R$ 0 | 3 vagas|São João Bosco
R$ 250.000|3 quartos | 90m² | | 1 vaga|Nova Esperança
R$ 370.000|3 quartos | 90m² |R$ 0 | 2 vagas|Costa e Silva
R$ 1.250.000|5 ou mais quartos | 150m² |R$ 0| |Costa e Silva
R$ 450.000|3 quartos | 440m² | | 2 vagas|Embratel
R$ 170.000|4 quartos | 25000m² |R$ 0 | 2 vagas|Mariana
R$ 380.000|3 quartos | 73m² |R$ 580| |Rio Madeira
R$ 100.000|2 quartos | 0m² |R$ 0 | 2 vagas|Nossa Senhora das Graças
R$ 80.000|2 quartos | 360m² | | 3 vagas|Nova Esperança
R$ 820.000|3 quartos | 159m² |R$ 270| |Aponiã
R$ 320.000|3 quartos | 84m² |R$ 580 | 1 vaga|Agenor de Carvalho
R$ 630.000|3 quartos | 175m² |R$ 0 | 1 vaga|Cohab
R$ 185.000|2 quartos| | | |Eletronorte
R$ 260.000|2 quartos | 49m² |R$ 0 | 1 vaga|Igarapé
R$ 48.000|2 quartos | 42m² |R$ 0 | 2 vagas|Industrial
R$ 65.000|2 quartos| | | |Nacional
R$ 340.000|4 quartos | 120m² | | 2 vagas|Nova Floresta
R$ 315.000|3 quartos | 72m² |R$ 400 | 1 vaga|Agenor de Carvalho
R$ 1.280.000|3 quartos | 222m² |R$ 0 | 4 vagas|Aeroclube
R$ 40.000|2 quartos| | | |Igarapé
R$ 580.000|2 quartos | 96m² | | 2 vagas|São João Bosco
R$ 375.000|3 quartos | 84m² | | 2 vagas|Lagoa
R$ 300.000|1 quarto| | | |Agenor de Carvalho
R$ 195.000|2 quartos | 52m² |R$ 0 | 1 vaga|Nova Esperança
R$ 700.000|3 quartos | 200m² |R$ 0| |Mato Grosso
R$ 230|2 quartos | 380m² | | 1 vaga|Socialista
R$ 60.000|1 quarto | 54m² |R$ 0 | 1 vaga|Ronaldo Aragão
R$ 60.000|3 quartos | 0m² | | 2 vagas|Socialista
R$ 100.000|3 quartos | 250m² | | 3 vagas|Aeroclube
R$ 65.000|2 quartos | 70m² | | 2 vagas|Castanheira
R$ 40.000|2 quartos | 0m² |R$ 0| |Costa e Silva
R$ 950.000|3 quartos | 187m² |R$ 0 | 2 vagas|Aponiã
R$ 60.000|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 194.811|3 quartos | 92m² |R$ 186 | 1 vaga|Planalto
R$ 90.000|2 quartos | | | 1 vaga|Ronaldo Aragão
R$ 400.000|2 quartos | | | 5 ou mais vagas|Floresta
R$ 440.000|3 quartos | 105m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 40.000|1 quarto | 400m²| | |Jardim Santana
R$ 230.000|3 quartos | | | 3 vagas|Aponiã
R$ 885.000|3 quartos | 158m² |R$ 0 | 4 vagas|Aponiã
R$ 350.000|3 quartos | 200m² | | 2 vagas|Tancredo Neves
R$ 70.000|1 quarto | 600m² | | 1 vaga|Conceição
R$ 800.000|3 quartos | 160m² |R$ 1.300 | 2 vagas|Pedrinhas
R$ 149.999|2 quartos | 42m² |R$ 190 | 2 vagas|Bairro Novo
R$ 25.000|1 quarto | 10m²| | |Floresta
R$ 580.000|3 quartos | 120m² |R$ 550 | 2 vagas|Pedrinhas
R$ 540.000|3 quartos | 110m² |R$ 800 | 2 vagas|Olaria
R$ 170.000|3 quartos | 100m² |R$ 0 | 5 ou mais vagas|Mocambo
R$ 350.000|3 quartos | 80m² | | 1 vaga|Rio Madeira
R$ 750.000|1 quarto | 500m² |R$ 0| |Nova Floresta
R$ 360.000|2 quartos | 173m² | | 2 vagas|Aponiã
R$ 110.000|2 quartos | 42m² |R$ 0 | 1 vaga|Floresta
R$ 390.000|3 quartos | 200m² | | 2 vagas|São João Bosco
R$ 525.000|2 quartos | 142m² |R$ 550.000 | 2 vagas|Olaria
R$ 40.000|2 quartos | 250m² | | 1 vaga|Socialista
R$ 47.000| | | | |Teixeirão
R$ 50.000|2 quartos | | | 3 vagas|Maringá
R$ 50.000|2 quartos| | | |Área Rural de Porto Velho
R$ 620.000|2 quartos | 7000m² | | 5 ou mais vagas|Aponiã
R$ 250.000|3 quartos | | | 3 vagas|Tancredo Neves
R$ 210.000|3 quartos | 100m² |R$ 290 | 2 vagas|Lagoinha
R$ 150.000|3 quartos| | | |Castanheira
R$ 330.000|3 quartos | 76m² |R$ 620 | 2 vagas|Liberdade
R$ 250.000|2 quartos | 300m² |R$ 0| |Planalto
R$ 400.000|3 quartos | 309m² |R$ 0 | 3 vagas|Rio Madeira
R$ 350.000|3 quartos | 260m² |R$ 0| |Nova Esperança
R$ 35.000|1 quarto | 13m² |R$ 23 | 2 vagas|Lagoa
R$ 30.000|2 quartos | |R$ 45 | 1 vaga|Cohab
R$ 280.000|4 quartos | 72m² |R$ 0 | 1 vaga|Aeroclube
R$ 20.000|2 quartos | | | 1 vaga|Aeroclube
R$ 1.600.000|4 quartos | 376m² | | 4 vagas|Centro
R$ 130.000|3 quartos | | | 2 vagas|Nacional
R$ 580.000|3 quartos | 120m² |R$ 350 | 2 vagas|Industrial
R$ 50.000|2 quartos | |R$ 46 | 1 vaga|Aeroclube
R$ 100.000|2 quartos| | | |Castanheira
R$ 1.600.000|4 quartos | 410m² |R$ 0| |Nova Esperança
R$ 235.000|2 quartos | 49m² |R$ 0 | 1 vaga|Igarapé
R$ 180.000|4 quartos | 360m² |R$ 0| |Planalto
R$ 380.000|4 quartos | 280m² | | 2 vagas|Costa e Silva
R$ 135.000|2 quartos | 45m² | | 1 vaga|Lagoinha
R$ 342.000|2 quartos | 68m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 260.000|2 quartos | 70m² | | 2 vagas|Nova Esperança
R$ 820.000|3 quartos | 300m² | | 3 vagas|Cuniã
R$ 850.000|4 quartos | 307m² | | 4 vagas|Nova Porto Velho
R$ 450.000|2 quartos | 75m² |R$ 380 | 1 vaga|Liberdade
R$ 450.000|4 quartos | 200m² | | 4 vagas|Conceição
R$ 650.000|3 quartos | 450m² | | 4 vagas|Agenor de Carvalho
R$ 100|1 quarto | | | 4 vagas|Novo Horizonte
R$ 380.000|3 quartos | 164m² |R$ 0| |Nova Porto Velho
R$ 800.000|3 quartos | 150m² |R$ 550 | 2 vagas|Industrial
R$ 800.000|2 quartos| | | |Caladinho
R$ 70.000|2 quartos | 1m² | | 1 vaga|Aeroclube
R$ 140.000|3 quartos | 100m² | | 1 vaga|Cohab
R$ 180.000|5 ou mais quartos | 157m² | | 1 vaga|Cohab
R$ 150.000|3 quartos | 140m² | | 2 vagas|Igarapé
R$ 65.000|4 quartos | 10m² | | 3 vagas|Mariana
R$ 325.000|2 quartos | 75m² |R$ 375 | 2 vagas|Triângulo
R$ 260.000|2 quartos | 49m² |R$ 350 | 1 vaga|Igarapé
R$ 210.000|2 quartos| | | |Tupy
R$ 720.720|3 quartos | 135m² | | 2 vagas|Olaria
R$ 345.000|2 quartos | 100m² |R$ 0 | 2 vagas|Aponiã
R$ 109.999|3 quartos | 90m² |R$ 160 | 2 vagas|Bairro Novo
R$ 287.451|2 quartos | 58m² |R$ 500 | 1 vaga|Flodoaldo Pontes Pinto
R$ 720.000|3 quartos | 151m² |R$ 500 | 2 vagas|Industrial
R$ 150.000|3 quartos | 250m² |R$ 0| |Conceição
R$ 220.000|4 quartos | 144m² |R$ 0 | 5 ou mais vagas|Mato Grosso
R$ 280.000|3 quartos | 92m² |R$ 600 | 3 vagas|São Cristóvão
R$ 150.000|2 quartos | 144m² |R$ 0 | 2 vagas|Mato Grosso
R$ 155.000|3 quartos | 380m² |R$ 0 | 1 vaga|Cuniã
R$ 200.000|2 quartos | 200m² |R$ 0 | 1 vaga|Novo Horizonte
R$ 35.000|2 quartos | 96m² | | 1 vaga|Aponiã
R$ 19.000|1 quarto| | | |Rio Madeira
R$ 0|2 quartos | |R$ 0 | 2 vagas|Esperança da Comunidade
R$ 70.000|2 quartos | | | 3 vagas|Novo Horizonte
R$ 455.000|3 quartos | 84m² |R$ 450 | 2 vagas|Lagoa
R$ 587.000|3 quartos | 126m² |R$ 600 | 2 vagas|Nova Porto Velho
R$ 1.400.000|3 quartos | 177m² |R$ 0 | 3 vagas|Embratel
R$ 250.000|3 quartos | 600m² |R$ 0| |Teixeirão
R$ 180.000|2 quartos | | | 1 vaga|Centro
R$ 300.000|3 quartos | 150m² |R$ 0 | 2 vagas|Juscelino Kubitschek
R$ 68.000|2 quartos | 42m² |R$ 0| |Bairro Novo
R$ 160.000|4 quartos | 250m² |R$ 0 | 2 vagas|Castanheira
R$ 459.000|3 quartos | 348m² |R$ 0| |Aeroclube
R$ 170.000|2 quartos | 110m² |R$ 0| |Nova Esperança
R$ 80.000|2 quartos | 12m² |R$ 0| |Novo Horizonte
R$ 195.000|2 quartos | 0m² | | 1 vaga|Planalto
R$ 300.000|3 quartos | 0m² | | 3 vagas|Eldorado
R$ 485.000|3 quartos | 0m² | | 2 vagas|Industrial
R$ 270.000|3 quartos | 0m²| | |Três Marias
R$ 330.000|3 quartos | 0m² | | 3 vagas|Aponiã
R$ 350.000|3 quartos | 200m² | | 4 vagas|Aponiã
R$ 120.000|2 quartos | | | 4 vagas|Nova Esperança
R$ 60.000|2 quartos| | | |Conceição
R$ 1.060.000|3 quartos | 500m² | | 5 ou mais vagas|Flodoaldo Pontes Pinto
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 120.000|2 quartos | 50m² |R$ 130 | 1 vaga|Bairro Novo
R$ 260.000|3 quartos | 90m² |R$ 600 | 2 vagas|São Cristóvão
R$ 60.000|2 quartos | | | 2 vagas|Mariana
R$ 1.200.000|3 quartos | 237m² |R$ 1.400 | 4 vagas|Lagoa
R$ 1.500.000|3 quartos | 302m² |R$ 450 | 2 vagas|Triângulo
R$ 1.200.000|3 quartos | | | 2 vagas|Cohab
R$ 660.000|3 quartos | 110m² |R$ 800 | 2 vagas|Olaria
R$ 170|2 quartos | |R$ 0 | 2 vagas|Cidade Nova
R$ 120.000|3 quartos | 260m² | | 4 vagas|Castanheira
R$ 20.000|2 quartos | | | 1 vaga|Juscelino Kubitschek
R$ 190.000|3 quartos| | | |Esperança da Comunidade
R$ 280.000|3 quartos | 74m² |R$ 374 | 2 vagas|Triângulo
R$ 45.000|2 quartos | |R$ 100| |Socialista
R$ 1.850.000|4 quartos | 500m² |R$ 1.050 | 3 vagas|São João Bosco
R$ 280.000|3 quartos| | | |São Sebastião
R$ 99.999|2 quartos | 60m² |R$ 0 | 1 vaga|Igarapé
R$ 230.000|3 quartos | 75m² |R$ 300 | 1 vaga|Aeroclube
R$ 310.000|3 quartos | | | 4 vagas|Mato Grosso
R$ 310.000|3 quartos | 115m²| | |Rio Madeira
R$ 130.000|2 quartos| | | |Esperança da Comunidade
R$ 130.000|2 quartos | 0m² | | 4 vagas|Cidade Nova
R$ 152.000|3 quartos | 66m² |R$ 0| |Nova Floresta
R$ 250.000|2 quartos| | | |Tancredo Neves
R$ 0|3 quartos | 104m² | | 2 vagas|Aeroclube
R$ 200.000|2 quartos| | | |Pedrinhas
R$ 370.000|3 quartos | 98m² |R$ 545.000 | 1 vaga|Costa e Silva
R$ 150|1 quarto| | | |Aponiã
R$ 250.000|2 quartos | 150m² |R$ 0 | 4 vagas|Três Marias
R$ 600.000|4 quartos | 129m² | | 2 vagas|Santa Bárbara
R$ 520.000|3 quartos | | | 2 vagas|São João Bosco
R$ 300.000|3 quartos | 250m² | | 3 vagas|Cohab
R$ 420.000|3 quartos | 10m² | | 2 vagas|Aeroclube
R$ 22.000|2 quartos | |R$ 22 | 1 vaga|São Cristóvão
R$ 235.000|2 quartos | 93m² | | 1 vaga|Embratel
R$ 300.000|3 quartos | 250m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 450.000|3 quartos | 225m² |R$ 0| |Embratel
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 1.890.000|3 quartos | 259m² | | 2 vagas|Aponiã
R$ 500.000|4 quartos | 250m² |R$ 0| |Cohab
R$ 520.000|4 quartos | 250m² |R$ 0| |Igarapé
R$ 300.000|1 quarto | 65m² |R$ 430 | 1 vaga|Nova Porto Velho
R$ 50.000|2 quartos | 300m²| | |Novo Horizonte
R$ 330.000|2 quartos | 69m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 226.000|2 quartos | 66m² |R$ 0| |Lagoa
R$ 140.000|2 quartos | 250m² |R$ 0 | 2 vagas|Tancredo Neves
R$ 230.000|3 quartos | 75m² | | 1 vaga|Aeroclube
R$ 170.000|2 quartos | | | 2 vagas|Nova Porto Velho
R$ 350.000|3 quartos | 11m²| | |Conceição
R$ 350.000|2 quartos | 110m² |R$ 250| |Lagoa
R$ 240.000|3 quartos | |R$ 153 | 2 vagas|Esperança da Comunidade
R$ 70.000|2 quartos | |R$ 0 | 1 vaga|Cascalheira
R$ 180.000|2 quartos | 44m² |R$ 180 | 1 vaga|Aeroclube
R$ 350.000|3 quartos | | | 2 vagas|São Cristóvão
R$ 160.000|2 quartos | | | 1 vaga|Caladinho
R$ 200.000|4 quartos | 78m² | | 2 vagas|Centro
R$ 1.290.000|3 quartos | 222m² |R$ 0 | 4 vagas|São João Bosco
R$ 390.000| | | | |Pedrinhas
R$ 530.000|3 quartos | 140m² |R$ 0 | 2 vagas|Olaria
R$ 70.000|2 quartos | | | 2 vagas|Mariana
R$ 80.000|3 quartos | 28m² | | 1 vaga|Castanheira
R$ 287.900|2 quartos | 58m² |R$ 0 | 2 vagas|Rio Madeira
R$ 120.000|1 quarto | 68m² |R$ 0| |Planalto
R$ 400.000|3 quartos | 143m² |R$ 400 | 2 vagas|Lagoa
R$ 390.000|3 quartos | 84m² |R$ 550 | 2 vagas|Rio Madeira
R$ 650.000|3 quartos | 160m² |R$ 540.000 | 2 vagas|Nossa Senhora das Graças
R$ 195.000|2 quartos | 52m² | | 1 vaga|Nova Esperança
R$ 70.000|2 quartos | 65m² |R$ 0 | 2 vagas|Centro
R$ 300.000|3 quartos | |R$ 194 | 2 vagas|Novo Horizonte
R$ 70.000|2 quartos | |R$ 0 | 1 vaga|Centro
R$ 70.000|2 quartos | 65m² |R$ 0 | 2 vagas|Centro
R$ 450.000|3 quartos | | | 5 ou mais vagas|Agenor de Carvalho
R$ 230|1 quarto | | | 3 vagas|Ronaldo Aragão
R$ 110.000|2 quartos| | | |Pantanal
R$ 180.000|3 quartos | 240m² |R$ 165 | 3 vagas|Esperança da Comunidade
R$ 260.000|2 quartos | 49m² | | 1 vaga|Igarapé
R$ 680.000|3 quartos | 450m² | | 3 vagas|Agenor de Carvalho
R$ 375.000|3 quartos | 90m² |R$ 540 | 2 vagas|Costa e Silva
R$ 550.000|3 quartos | 100m² | | 3 vagas|Embratel
R$ 879.000|3 quartos | 205m² |R$ 400 | 2 vagas|Floresta
R$ 4.500.000|5 ou mais quartos | 720m² |R$ 1.600 | 4 vagas|Olaria
R$ 1.290.000|4 quartos | | | 2 vagas|Nova Porto Velho
R$ 450.000|3 quartos | 76m² |R$ 0 | 1 vaga|Rio Madeira
R$ 265.000|2 quartos | 52m² | | 1 vaga|Igarapé
R$ 440.000|2 quartos | 123m² |R$ 1.450 | 2 vagas|Centro
R$ 180.000|2 quartos | 290m² |R$ 0 | 4 vagas|Aponiã
R$ 459.000|3 quartos | 216m² | | 2 vagas|Cuniã
R$ 890.000|3 quartos | 161m² |R$ 350 | 2 vagas|Rio Madeira
R$ 230.000|3 quartos | 448m² | | 4 vagas|Agenor de Carvalho
R$ 760.000|3 quartos | 108m² | | 2 vagas|Olaria
R$ 17.500| |0m² |R$ 0| |Mariana
R$ 150.000|2 quartos | 250m² | | 5 ou mais vagas|Cidade do Lobo
R$ 400.000|2 quartos | 74m² | | 1 vaga|Nova Porto Velho
R$ 820.000|4 quartos | 535m² |R$ 560 | 2 vagas|Arigolândia
R$ 360.000|3 quartos | 75m² |R$ 480 | 1 vaga|Rio Madeira
R$ 200.000| | |Condomínio: R$ 0| |Centro
R$ 690.000|4 quartos | 220m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 285.000|2 quartos | 58m² | | 1 vaga|Rio Madeira
R$ 190.000|3 quartos | 73m² |R$ 365 | 1 vaga|Rio Madeira
R$ 250.000|2 quartos | | | 3 vagas|Jardim Santana
R$ 140.000|3 quartos | 12m²| | |Tancredo Neves
R$ 500.000|3 quartos | 0m² | | 2 vagas|São João Bosco
R$ 40.000|1 quarto | | | 1 vaga|Área Rural de Porto Velho
R$ 2.650.000|4 quartos | 401m² |R$ 790 | 2 vagas|Rio Madeira
R$ 135.000|2 quartos | 0m² |R$ 0| |Rio Madeira
R$ 1.300.000|3 quartos | 376m² |R$ 600 | 3 vagas|Olaria
R$ 400|2 quartos| | | |Ronaldo Aragão
R$ 160.000|2 quartos | 86m² | | 2 vagas|Nova Esperança
R$ 850.000|5 ou mais quartos | 460m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 70.000|2 quartos | 400m²| | |Castanheira
R$ 125.000|3 quartos| | | |Nacional
R$ 1.800.000|3 quartos | 375m² |R$ 0| |Industrial
R$ 260.000|2 quartos | 53m² | | 1 vaga|Igarapé
R$ 300.000|3 quartos | 249m² |R$ 0| |Três Marias
R$ 0|3 quartos | 250m² |R$ 390 | 2 vagas|Triângulo
R$ 0|4 quartos | 290m² |R$ 500 | 2 vagas|Nova Esperança
R$ 0|3 quartos | 170m² |R$ 1.130 | 2 vagas|Agenor de Carvalho
R$ 770.000|3 quartos | 270m² | | 1 vaga|Pedrinhas
R$ 185.000|2 quartos | |R$ 360 | 1 vaga|Aponiã
R$ 0|3 quartos | 143m² |R$ 800 | 2 vagas|Embratel
R$ 210.000|2 quartos | 197m² | | 1 vaga|Aponiã
R$ 75.000|2 quartos| | | |Nova Porto Velho
R$ 2.000.000|3 quartos | |R$ 450 | 3 vagas|Cidade Jardim
R$ 100.000|2 quartos | | | 1 vaga|Teixeirão
R$ 0|3 quartos | 236m² |R$ 270 | 2 vagas|Aponiã
R$ 75.000|2 quartos | 63m² |R$ 160 | 1 vaga|Rio Madeira
R$ 220.000|3 quartos | | | 3 vagas|Castanheira
R$ 0|3 quartos | |R$ 0| |Nossa Senhora das Graças
R$ 280.000|4 quartos | 0m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 161.000|2 quartos | 46m² |R$ 0 | 1 vaga|Esperança da Comunidade
R$ 160.000|3 quartos | | | 5 ou mais vagas|Triângulo
R$ 470.000|2 quartos | 83m² | | 2 vagas|Lagoa
R$ 85.000|3 quartos | 300m² | | 2 vagas|Aponiã
R$ 450.000|2 quartos | 75m² | | 1 vaga|Liberdade
R$ 690.000|2 quartos | 107m² | | 2 vagas|Olaria
R$ 550.000|3 quartos | 96m² | | 2 vagas|Industrial
R$ 549.000|2 quartos | 120m² | | 2 vagas|Lagoa
R$ 342.200|2 quartos | 68m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 37.000|1 quarto | 0m² | | 2 vagas|Área Rural de Porto Velho
R$ 1.300.000|3 quartos | 268m² |R$ 500 | 3 vagas|Tiradentes
R$ 12.000|1 quarto| | | |Jardim Santana
R$ 550.000|3 quartos | 200m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 510.000|3 quartos | | | 2 vagas|Flodoaldo Pontes Pinto
R$ 8.000|2 quartos | |R$ 50 | 1 vaga|Jardim Santana
R$ 155.000|3 quartos | 96m² |R$ 0| |Ronaldo Aragão
R$ 480.000|3 quartos | 72m² |R$ 0 | 2 vagas|Panair
R$ 14.000|2 quartos | | | 1 vaga|Lagoinha
R$ 65.000|2 quartos | 25m²| | |Tancredo Neves
R$ 110.000|2 quartos | 100m² | | 5 ou mais vagas|Maringá
R$ 850.000|3 quartos | 170m² |R$ 1.000 | 3 vagas|Agenor de Carvalho
R$ 35.000|2 quartos | |R$ 45.000| |Novo Horizonte
R$ 45.000|2 quartos | 48m²| | |Aponiã
R$ 50.000|2 quartos | 42m² |R$ 100 | 1 vaga|Socialista
R$ 50.000|2 quartos | 42m² |R$ 100 | 1 vaga|Socialista
R$ 30.000| | | | |Três Marias
R$ 365.000|3 quartos | 94m² |R$ 0 | 2 vagas|Costa e Silva
R$ 80.000|2 quartos | 95m²| | |São Sebastião
R$ 295.000|3 quartos | 154m² | | 3 vagas|Conceição
R$ 1.290.000|3 quartos | 265m² |R$ 380 | 2 vagas|Embratel
R$ 390.000|5 ou mais quartos | 294m² | | 2 vagas|Nacional
R$ 160.000|2 quartos | 100m² |R$ 0 | 3 vagas|Três Marias
R$ 300.000|3 quartos| | | |São Cristóvão
R$ 35.000|3 quartos | | | 2 vagas|Planalto
R$ 950| | | | |Tiradentes
R$ 170.000|2 quartos | 0m² | | 2 vagas|Costa e Silva
R$ 300.000|2 quartos | 70m² |R$ 0 | 1 vaga|Lagoinha
R$ 390.000|2 quartos | 500m² | | 4 vagas|Rio Madeira
R$ 0|3 quartos | 264m² |R$ 390 | 2 vagas|Liberdade
R$ 93.000|2 quartos | 0m² | | 2 vagas|Caladinho
R$ 500.000|3 quartos | | | 2 vagas|Pedrinhas
R$ 300.000|3 quartos | 10m² |R$ 300.000 | 1 vaga|Tancredo Neves
R$ 170.000|2 quartos | | | 5 ou mais vagas|Esperança da Comunidade
R$ 300.000|3 quartos | 0m² | | 2 vagas|Santa Bárbara
R$ 900.000|4 quartos | 360m² | | 2 vagas|Costa e Silva
R$ 375.000|3 quartos | 250m² |R$ 0| |Juscelino Kubitschek
R$ 280.000|3 quartos | 240m² |R$ 0| |Nova Floresta
R$ 330.000|3 quartos | 76m² |R$ 532 | 2 vagas|Rio Madeira
R$ 100.000|2 quartos | 0m² |R$ 0 | 2 vagas|Castanheira
R$ 45.000|2 quartos | 0m²| | |Nova Esperança
R$ 150.000|3 quartos| | | |Nova Floresta
R$ 550.000|4 quartos | 0m² | | 3 vagas|Nossa Senhora das Graças
R$ 0| |0m²| | |Flodoaldo Pontes Pinto
R$ 670.000|2 quartos | 97m² | | 2 vagas|Nova Porto Velho
R$ 300.000|4 quartos | 0m² | | 3 vagas|Centro
R$ 460.000|3 quartos | 0m² | | 2 vagas|Igarapé
R$ 60.000|2 quartos| | | |Nova Porto Velho
R$ 700.000|3 quartos | 220m² |R$ 0| |Flodoaldo Pontes Pinto
R$ 520.000|4 quartos | 232m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 580.000|2 quartos | 295m² | | 2 vagas|São João Bosco
R$ 60.000|2 quartos | | | 1 vaga|Planalto
R$ 85.000|2 quartos | | | 1 vaga|Cuniã
R$ 640.000|4 quartos | 290m² | | 2 vagas|Agenor de Carvalho
R$ 640.000|3 quartos | | | 2 vagas|Agenor de Carvalho
R$ 390.000|3 quartos | 74m² |R$ 550 | 2 vagas|Rio Madeira
R$ 260.000|2 quartos | |R$ 600 | 1 vaga|Liberdade
R$ 310.000|3 quartos | 74m² |R$ 390 | 2 vagas|Floresta
R$ 200.000|2 quartos | 70m² |R$ 150 | 2 vagas|Novo Horizonte
R$ 115.000|2 quartos | 45m² |R$ 130 | 1 vaga|Bairro Novo
R$ 205.000|4 quartos | 15m²| | |Ronaldo Aragão
R$ 65.000|2 quartos | 250m² | | 1 vaga|Castanheira
R$ 145.000| | | | |Nova Porto Velho
R$ 150.000|2 quartos | | | 5 ou mais vagas|Cohab
R$ 90.000|3 quartos | 169m² |R$ 0 | 2 vagas|Mariana
R$ 480.000|3 quartos | 140m² |R$ 700 | 2 vagas|Nova Porto Velho
R$ 599.000|3 quartos | 135m²| | |Centro
R$ 130.000|3 quartos | 100m² | | 2 vagas|Três Marias
R$ 195.000|2 quartos | 78m² |R$ 570 | 2 vagas|Três Marias
R$ 450.000|3 quartos | 205m² | | 4 vagas|Agenor de Carvalho
R$ 700.000|2 quartos | 105m² |R$ 0 | 1 vaga|Jardim Santana
R$ 50.000|1 quarto | 25m² | | 1 vaga|Mariana
R$ 360.000|3 quartos | 93m² |R$ 460 | 2 vagas|Lagoa
R$ 985.000|3 quartos | 172m² |R$ 1.000| |Nova Porto Velho
R$ 120.000|2 quartos| | | |Planalto
R$ 200.000|3 quartos | | | 2 vagas|Costa e Silva
R$ 18.000|2 quartos| | | |Aeroclube
R$ 630.000|3 quartos | 0m² | | 2 vagas|São João Bosco
R$ 585.000|3 quartos | 132m² |R$ 730 | 2 vagas|Olaria
R$ 172.000|2 quartos | 51m² | | 1 vaga|Planalto
R$ 400.000|4 quartos | 450m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 330.000|2 quartos | 65m² |R$ 380 | 1 vaga|Rio Madeira
R$ 3.200.000|3 quartos | 422m² |R$ 700 | 4 vagas|Aponiã
R$ 290.000|2 quartos | 300m² | | 2 vagas|Rio Madeira
R$ 900.000|3 quartos | 710m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 2.250.000|4 quartos | 448m² |R$ 390 | 3 vagas|Liberdade
R$ 265.000|2 quartos | 250m² | | 2 vagas|Escola de Polícia
R$ 1.100.000|3 quartos | 230m² |R$ 390 | 2 vagas|Liberdade
R$ 1.550.000|4 quartos | 416m² |R$ 1.200 | 2 vagas|Liberdade
R$ 330.000|2 quartos | 300m² | | 5 ou mais vagas|Liberdade
R$ 1.500.000|4 quartos | 307m² |R$ 0 | 4 vagas|Lagoa
R$ 160.000|2 quartos | 79m²| | |Agenor de Carvalho
