PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 670.000|2 quartos | 97m² |R$ 0 | 2 vagas|Nova Porto Velho
R$ 680.000|3 quartos | 250m² |R$ 0 | 3 vagas|Agenor de Carvalho
R$ 150.000|2 quartos | 48m² |R$ 200 | 1 vaga|Aeroclube
R$ 138.000|2 quartos | 44m² |R$ 0 | 1 vaga|Lagoinha
R$ 150.000|2 quartos | 65m² |R$ 465 | 1 vaga|Rio Madeira
R$ 36.000|2 quartos | 9m²| | |Maringá
R$ 220.000|3 quartos | 90m² |R$ 200 | 2 vagas|Bairro Novo
R$ 130.000|3 quartos | | | 3 vagas|Aponiã
R$ 2.700.000|4 quartos | 517m² |R$ 800 | 5 ou mais vagas|Aponiã
R$ 80.000|1 quarto | 250m² | | 1 vaga|Castanheira
R$ 360.000|3 quartos | 128m² |R$ 0 | 2 vagas|Lagoinha
R$ 15.000|2 quartos| | | |São Sebastião
R$ 150.000|3 quartos | 150m² | | 4 vagas|Nacional
R$ 250.000|2 quartos | 80m² | | 3 vagas|Castanheira
R$ 650.000|5 ou mais quartos | 300m² |R$ 0 | 3 vagas|Cuniã
R$ 175.000|2 quartos | | | 2 vagas|Novo Horizonte
R$ 180.000|3 quartos | | | 2 vagas|Cohab
R$ 250.000|3 quartos | 900m² |R$ 0 | 2 vagas|Nova Esperança
R$ 780.000|4 quartos | 143m² |R$ 0 | 2 vagas|Igarapé
R$ 330.000|3 quartos | 76m² | | 1 vaga|Liberdade
R$ 437.700|3 quartos | 114m² | | 4 vagas|Aeroclube
R$ 235.000|2 quartos | 52m²| | |Igarapé
R$ 330.000|2 quartos | 83m² |R$ 430 | 2 vagas|Rio Madeira
R$ 800.000|4 quartos| | | |Eletronorte
R$ 2.300.000|5 ou mais quartos | 600m² | | 5 ou mais vagas|Centro
R$ 155.000|3 quartos | 145m² |R$ 181 | 2 vagas|Bairro Novo
R$ 2.800.000|4 quartos | 401m² | | 2 vagas|Rio Madeira
R$ 1.300.000|4 quartos| | | |São Cristóvão
R$ 345.000|3 quartos | 112m² | | 1 vaga|Nova Floresta
R$ 450.000|3 quartos | 140m² | | 1 vaga|São João Bosco
R$ 200.000|5 ou mais quartos | 300m² | | 2 vagas|Três Marias
R$ 165.000|2 quartos | 65m² |R$ 250 | 1 vaga|Nova Esperança
R$ 120.000|2 quartos | 45m² |R$ 200 | 1 vaga|Bairro Novo
R$ 1.500.000|3 quartos | 302m² |R$ 450 | 2 vagas|Triângulo
R$ 65.000|2 quartos| | | |São Francisco
R$ 670.000|5 ou mais quartos | 425m² |R$ 0 | 5 ou mais vagas|Agenor de Carvalho
R$ 230.000|3 quartos | 179m² |R$ 0 | 3 vagas|Agenor de Carvalho
R$ 530.000|4 quartos | 220m² |R$ 0 | 1 vaga|São Cristóvão
R$ 580.000|4 quartos | 270m² |R$ 0 | 5 ou mais vagas|Castanheira
R$ 1.300.000|4 quartos | 1m² | | 2 vagas|São Cristóvão
R$ 100.000|4 quartos | 300m² | | 2 vagas|Tancredo Neves
R$ 50.000|1 quarto| | | |Novo Horizonte
R$ 690.000|3 quartos | 144m² | | 2 vagas|Nova Porto Velho
R$ 22.000|2 quartos | | | 1 vaga|Castanheira
R$ 199.999|2 quartos | 58m² |R$ 500 | 1 vaga|Nova Porto Velho
R$ 270.000|2 quartos | 50m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 200.000|4 quartos | 300m² |R$ 0 | 2 vagas|Lagoa
R$ 120.000|2 quartos | | | 2 vagas|Área Rural de Porto Velho
R$ 470.000|3 quartos | 292m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 2.300.000|4 quartos | 443m² |R$ 900 | 4 vagas|Cidade Jardim
R$ 450.000|3 quartos | 84m² |R$ 850 | 2 vagas|Pedrinhas
R$ 975.000|3 quartos | 152m² | | 2 vagas|Nova Porto Velho
R$ 247.695|2 quartos | 66m² | | 1 vaga|Lagoa
R$ 287.000|2 quartos | 58m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 260.000|2 quartos | 53m² | | 1 vaga|Igarapé
